id,date_releve,humidity,dewpoint,pressure,windspeed,visibility,cloudcover,windgust,uvindex,precipintensity,precipintensitymax,temperaturehigh,temperaturelow,temperaturehighoffset2,temperaturelowoffset2,temperature,temperatureoffset2
223,2017-01-28,79.00,3.40,1017.33,3.62,9.38,84.00,7.46,1.31,0.06,0.54,10.47,2.75,12.47,4.75,6.61,8.61
67,2017-01-29,82.00,3.51,1020.58,3.30,8.78,77.00,6.27,1.21,0.04,0.36,11.37,4.95,13.37,6.95,8.16,10.16
314,2017-01-30,88.00,6.38,1017.37,3.30,8.02,91.00,6.26,1.36,0.04,0.37,11.15,7.27,13.15,9.27,9.21,11.21
150,2017-01-31,89.00,7.67,1015.88,2.73,7.43,91.00,5.49,1.14,0.04,0.24,12.77,6.67,14.77,8.67,9.72,11.72
713,2017-02-01,87.00,7.22,1014.07,3.35,8.01,84.00,6.40,1.29,0.01,0.13,13.05,7.31,15.05,9.31,10.18,12.18
626,2017-02-02,81.00,6.91,1007.33,5.46,9.33,87.00,10.84,1.36,0.03,0.28,13.62,5.46,15.62,7.46,9.54,11.54
278,2017-02-03,81.00,5.14,1005.99,5.16,9.77,81.00,14.36,1.52,0.05,0.59,11.53,5.29,13.53,7.29,8.41,10.41
807,2017-02-04,79.00,4.43,1003.42,5.24,9.70,83.00,15.88,1.52,0.11,1.13,11.18,5.28,13.18,7.28,8.23,10.23
667,2017-02-05,85.00,4.68,1003.14,5.25,9.29,86.00,14.16,1.52,0.12,0.93,9.58,4.25,11.58,6.25,6.92,8.92
433,2017-02-06,79.00,3.08,1016.51,4.81,9.21,83.00,11.85,1.57,0.04,0.49,9.58,4.72,11.58,6.72,7.15,9.15
1036,2017-02-07,83.00,4.76,1017.27,3.59,8.33,85.00,7.94,1.64,0.04,0.34,11.24,3.87,13.24,5.87,7.56,9.56
355,2017-02-08,83.00,3.13,1021.94,3.99,8.87,85.00,7.63,1.69,0.02,0.18,8.57,1.99,10.57,3.99,5.28,7.28
392,2017-02-09,80.00,1.02,1022.06,3.27,7.98,79.00,6.47,1.64,0.01,0.04,7.31,0.98,9.31,2.98,4.15,6.15
287,2017-02-10,79.00,0.58,1018.15,3.37,7.63,73.00,5.57,1.67,0.00,0.05,8.10,1.03,10.10,3.03,4.57,6.57
17,2017-02-11,81.00,0.77,1019.12,3.11,7.16,82.00,5.03,1.81,0.01,0.07,7.12,2.50,9.12,4.50,4.81,6.81
253,2017-02-12,78.00,2.87,1016.80,5.45,7.80,82.00,11.21,1.74,0.01,0.12,11.02,6.45,13.02,8.45,8.74,10.74
337,2017-02-13,69.00,4.05,1016.31,6.65,9.33,71.00,11.67,1.67,0.01,0.14,13.30,6.68,15.30,8.68,9.99,11.99
1124,2017-02-14,77.00,5.58,1023.75,4.25,8.96,76.00,7.30,1.81,0.03,0.27,13.91,5.83,15.91,7.83,9.87,11.87
954,2017-02-15,77.00,5.87,1031.70,3.00,9.09,59.00,5.79,1.76,0.01,0.12,15.53,4.43,17.53,6.43,9.98,11.98
227,2017-02-16,82.00,5.84,1031.91,1.80,7.95,64.00,3.76,1.81,0.00,0.04,14.62,4.01,16.62,6.01,9.32,11.32
62,2017-02-17,82.00,5.07,1028.27,2.06,7.55,67.00,4.65,1.79,0.00,0.04,13.71,2.58,15.71,4.58,8.15,10.15
66,2017-02-18,78.00,3.32,1024.44,2.34,7.82,48.00,4.88,1.45,0.00,0.01,13.62,1.02,15.62,3.02,7.32,9.32
28,2017-02-19,78.00,3.09,1025.98,2.29,8.17,55.00,4.76,1.62,0.00,0.02,13.34,4.75,15.34,6.75,9.05,11.05
1090,2017-02-20,81.00,5.40,1025.29,3.24,7.91,87.00,6.23,1.95,0.00,0.06,12.76,6.82,14.76,8.82,9.79,11.79
1081,2017-02-21,84.00,7.32,1023.41,3.73,8.71,86.00,6.31,1.95,0.00,0.05,13.74,7.44,15.74,9.44,10.59,12.59
369,2017-02-22,79.00,6.59,1019.77,4.16,9.41,88.00,7.75,2.02,0.00,0.03,13.81,5.67,15.81,7.67,9.74,11.74
386,2017-02-23,77.00,5.35,1012.33,5.11,8.99,81.00,12.41,1.88,0.01,0.10,14.58,5.51,16.58,7.51,10.05,12.05
763,2017-02-24,72.00,2.72,1016.88,4.16,9.82,77.00,9.24,2.38,0.00,0.03,10.74,0.96,12.74,2.96,5.85,7.85
1097,2017-02-25,69.00,0.48,1020.37,3.25,9.46,61.00,7.36,1.29,0.00,0.02,12.56,3.17,14.56,5.17,7.87,9.87
483,2017-02-26,74.00,3.70,1017.31,3.54,9.79,85.00,7.03,2.17,0.00,0.05,13.73,6.03,15.73,8.03,9.88,11.88
936,2017-02-27,76.00,5.09,1006.71,6.04,9.57,77.00,15.83,2.17,0.06,0.62,13.75,5.45,15.75,7.45,9.60,11.60
170,2017-02-28,79.00,3.95,1002.14,6.37,9.70,81.00,17.30,2.50,0.08,0.62,10.75,4.60,12.75,6.60,7.68,9.68
497,2017-03-01,77.00,4.33,1010.64,5.73,9.51,82.00,12.64,2.36,0.06,0.41,12.55,5.75,14.55,7.75,9.15,11.15
830,2017-03-02,73.00,4.61,1016.52,3.86,9.88,71.00,9.51,2.69,0.01,0.24,13.61,5.33,15.61,7.33,9.47,11.47
1005,2017-03-03,74.00,5.52,1005.41,5.03,9.95,79.00,11.77,2.14,0.03,0.40,15.54,6.69,17.54,8.69,11.12,13.12
445,2017-03-04,79.00,4.89,998.03,5.46,9.71,83.00,13.37,2.67,0.12,1.22,11.37,4.20,13.37,6.20,7.79,9.79
145,2017-03-05,79.00,4.08,1006.60,5.94,9.79,81.00,16.34,2.79,0.07,0.62,11.69,6.44,13.69,8.44,9.07,11.07
621,2017-03-06,76.00,4.68,1010.50,6.95,9.55,84.00,20.88,2.74,0.08,0.84,12.37,6.07,14.37,8.07,9.22,11.22
116,2017-03-07,76.00,3.53,1019.40,4.86,9.27,83.00,10.82,2.86,0.04,0.32,10.91,5.34,12.91,7.34,8.13,10.13
630,2017-03-08,82.00,6.68,1022.51,4.81,8.78,87.00,9.64,2.76,0.02,0.14,13.85,8.51,15.85,10.51,11.18,13.18
206,2017-03-09,80.00,8.09,1024.33,3.50,9.05,87.00,6.87,2.79,0.01,0.10,15.69,6.33,17.69,8.33,11.01,13.01
384,2017-03-10,75.00,6.37,1023.68,2.51,8.34,72.00,5.97,2.74,0.00,0.03,17.44,4.95,19.44,6.95,11.20,13.20
759,2017-03-11,66.00,4.41,1018.40,2.46,9.46,63.00,5.11,1.38,0.00,0.02,19.03,7.26,21.03,9.26,13.15,15.15
965,2017-03-12,78.00,6.69,1015.40,3.20,9.40,88.00,7.34,2.67,0.03,0.23,14.57,6.88,16.57,8.88,10.73,12.73
166,2017-03-13,77.00,6.30,1025.24,3.53,9.16,69.00,6.98,2.95,0.00,0.04,15.25,4.64,17.25,6.64,9.95,11.95
330,2017-03-14,75.00,5.48,1032.58,2.68,8.29,57.00,5.40,2.88,0.00,0.03,15.79,6.28,17.79,8.28,11.04,13.04
573,2017-03-15,75.00,6.09,1030.45,2.58,8.82,70.00,5.18,2.74,0.00,0.02,16.41,4.41,18.41,6.41,10.41,12.41
366,2017-03-16,71.00,5.70,1023.63,2.03,7.88,27.00,4.49,2.26,0.00,0.02,19.48,6.22,21.48,8.22,12.85,14.85
288,2017-03-17,73.00,5.85,1021.26,3.31,8.65,64.00,7.23,2.71,0.00,0.02,16.44,7.31,18.44,9.31,11.88,13.88
120,2017-03-18,80.00,6.97,1019.68,5.28,9.21,90.00,9.57,3.05,0.01,0.10,13.84,8.52,15.84,10.52,11.18,13.18
909,2017-03-19,79.00,7.92,1017.56,4.34,9.43,88.00,8.51,3.10,0.00,0.02,15.50,9.14,17.50,11.14,12.32,14.32
1057,2017-03-20,78.00,7.66,1014.27,3.95,9.72,91.00,7.95,2.98,0.00,0.06,14.62,8.25,16.62,10.25,11.44,13.44
876,2017-03-21,77.00,5.77,1014.07,3.51,9.72,84.00,7.93,3.33,0.02,0.22,13.12,4.43,15.12,6.43,8.78,10.78
623,2017-03-22,78.00,4.35,1010.75,3.44,9.59,79.00,7.74,3.57,0.06,0.63,12.62,5.27,14.62,7.27,8.95,10.95
526,2017-03-23,81.00,5.40,1011.03,3.49,9.42,83.00,7.69,3.45,0.09,1.01,12.96,5.13,14.96,7.13,9.05,11.05
94,2017-03-24,82.00,6.07,1019.94,3.92,8.80,81.00,7.66,3.52,0.05,0.41,13.16,7.60,15.16,9.60,10.38,12.38
788,2017-03-25,73.00,5.50,1018.26,5.72,8.61,62.00,12.66,3.62,0.08,0.77,15.71,5.07,17.71,7.07,10.39,12.39
196,2017-03-26,66.00,4.42,1018.82,3.28,9.93,63.00,6.18,3.00,0.00,0.01,16.86,5.66,18.86,7.66,11.26,13.26
658,2017-03-27,67.00,5.26,1019.61,3.30,9.55,50.00,6.80,2.93,0.00,0.01,18.13,6.44,20.13,8.44,12.29,14.29
1076,2017-03-28,69.00,6.27,1023.79,2.95,9.83,60.00,6.63,3.60,0.00,0.02,18.36,6.77,20.36,8.77,12.57,14.57
543,2017-03-29,65.00,6.32,1025.77,2.89,9.94,46.00,5.82,3.12,0.00,0.00,20.34,7.70,22.34,9.70,14.02,16.02
1077,2017-03-30,61.00,6.65,1022.63,2.99,9.97,21.00,6.17,4.40,0.00,0.00,22.32,10.12,24.32,12.12,16.22,18.22
57,2017-03-31,66.00,7.09,1017.24,3.95,9.86,85.00,8.15,3.33,0.03,0.44,18.14,8.29,20.14,10.29,13.22,15.22
689,2017-04-01,78.00,7.11,1014.64,3.78,9.88,84.00,8.28,3.93,0.07,0.65,14.45,7.16,16.45,9.16,10.81,12.81
7,2017-04-02,79.00,6.98,1019.39,3.23,9.46,80.00,6.46,4.05,0.04,0.24,15.23,6.18,17.23,8.18,10.71,12.71
815,2017-04-03,71.00,6.57,1023.84,2.69,8.82,59.00,5.90,4.21,0.00,0.06,18.80,7.60,20.80,9.60,13.20,15.20
990,2017-04-04,69.00,6.37,1023.53,3.43,9.57,74.00,7.31,4.12,0.01,0.09,17.39,8.07,19.39,10.07,12.73,14.73
901,2017-04-05,69.00,5.98,1024.59,4.36,9.32,71.00,8.54,4.38,0.01,0.08,16.44,5.77,18.44,7.77,11.11,13.11
914,2017-04-06,66.00,4.27,1025.32,4.03,9.65,52.00,8.07,4.36,0.00,0.00,15.75,3.83,17.75,5.83,9.79,11.79
944,2017-04-07,66.00,4.59,1023.98,2.68,9.70,35.00,5.53,2.29,0.00,0.01,18.71,6.24,20.71,8.24,12.48,14.48
1067,2017-04-08,64.00,6.59,1021.77,2.53,9.22,7.00,4.91,2.24,0.00,0.00,21.75,7.63,23.75,9.63,14.69,16.69
677,2017-04-09,62.00,7.26,1022.12,2.49,9.38,23.00,5.20,2.17,0.00,0.00,23.26,8.32,25.26,10.32,15.79,17.79
840,2017-04-10,68.00,7.54,1023.48,3.22,9.32,56.00,7.05,4.12,0.00,0.07,20.21,7.04,22.21,9.04,13.63,15.63
751,2017-04-11,66.00,5.62,1024.84,3.26,9.80,61.00,7.06,4.71,0.00,0.01,17.34,5.33,19.34,7.33,11.34,13.34
1042,2017-04-12,65.00,5.17,1021.53,2.86,9.79,58.00,6.31,2.81,0.00,0.00,19.13,6.72,21.13,8.72,12.93,14.93
709,2017-04-13,67.00,6.39,1017.95,2.81,9.86,63.00,6.05,3.21,0.00,0.00,18.95,7.82,20.95,9.82,13.39,15.39
863,2017-04-14,67.00,6.47,1017.76,2.79,9.65,73.00,5.95,4.00,0.00,0.00,18.17,8.74,20.17,10.74,13.46,15.46
622,2017-04-15,73.00,7.21,1020.04,3.60,9.93,88.00,6.91,4.14,0.00,0.03,15.67,8.07,17.67,10.07,11.87,13.87
1070,2017-04-16,68.00,5.74,1022.85,3.80,10.00,77.00,7.75,4.29,0.00,0.01,16.34,6.24,18.34,8.24,11.29,13.29
1008,2017-04-17,68.00,5.27,1020.56,3.49,9.92,74.00,7.22,3.62,0.00,0.04,16.78,5.10,18.78,7.10,10.94,12.94
1009,2017-04-18,61.00,1.91,1022.99,4.79,9.88,59.00,10.74,4.57,0.00,0.04,14.73,3.03,16.73,5.03,8.88,10.88
641,2017-04-19,52.00,-2.00,1028.58,5.06,9.95,50.00,10.57,4.00,0.00,0.02,13.44,1.05,15.44,3.05,7.25,9.25
499,2017-04-20,48.00,-3.46,1031.56,3.90,9.98,43.00,7.96,2.02,0.00,0.06,14.24,1.58,16.24,3.58,7.91,9.91
847,2017-04-21,49.00,-1.38,1030.13,2.79,9.81,39.00,6.11,2.10,0.00,0.00,17.75,4.79,19.75,6.79,11.27,13.27
678,2017-04-22,58.00,3.09,1025.48,2.97,9.58,57.00,6.76,3.40,0.00,0.02,18.80,5.31,20.80,7.31,12.06,14.06
782,2017-04-23,59.00,3.46,1022.30,3.50,9.85,50.00,7.51,3.33,0.00,0.00,18.24,4.46,20.24,6.46,11.35,13.35
1011,2017-04-24,61.00,4.25,1017.01,2.86,9.95,64.00,6.60,3.24,0.00,0.01,19.78,7.61,21.78,9.61,13.70,15.70
1102,2017-04-25,71.00,5.02,1011.67,3.83,9.78,84.00,8.50,4.71,0.09,0.75,13.94,4.45,15.94,6.45,9.20,11.20
224,2017-04-26,76.00,3.39,1013.25,3.64,9.74,84.00,8.30,4.48,0.09,0.52,11.15,2.98,13.15,4.98,7.07,9.07
683,2017-04-27,71.00,1.72,1017.15,3.60,9.81,76.00,8.82,4.95,0.02,0.15,11.96,3.26,13.96,5.26,7.61,9.61
382,2017-04-28,65.00,1.82,1017.52,3.56,9.84,73.00,7.86,4.98,0.01,0.12,13.66,2.66,15.66,4.66,8.16,10.16
444,2017-04-29,60.00,2.16,1014.92,3.06,9.56,52.00,7.41,3.88,0.00,0.01,17.65,6.59,19.65,8.59,12.12,14.12
230,2017-04-30,66.00,4.71,1006.46,5.10,9.87,79.00,12.23,4.57,0.13,1.40,17.50,6.01,19.50,8.01,11.76,13.76
761,2017-05-01,73.00,5.16,1012.85,5.27,9.81,81.00,12.40,4.98,0.14,1.12,14.82,6.69,16.82,8.69,10.76,12.76
195,2017-05-02,77.00,6.84,1017.45,3.25,9.73,83.00,7.26,5.00,0.08,0.84,15.63,7.45,17.63,9.45,11.54,13.54
138,2017-05-03,77.00,7.24,1018.49,2.41,9.33,82.00,5.64,4.98,0.02,0.17,15.79,7.12,17.79,9.12,11.46,13.46
347,2017-05-04,78.00,7.93,1016.35,2.89,8.64,76.00,5.60,4.98,0.02,0.21,16.92,8.13,18.92,10.13,12.53,14.53
1029,2017-05-05,73.00,8.31,1014.15,4.34,8.76,69.00,8.17,5.15,0.02,0.41,19.37,10.61,21.37,12.61,14.99,16.99
402,2017-05-06,79.00,9.50,1011.41,4.30,8.77,84.00,9.68,4.85,0.19,1.68,16.62,9.86,18.62,11.86,13.24,15.24
252,2017-05-07,76.00,8.59,1019.04,3.99,9.00,79.00,8.28,5.00,0.01,0.10,16.98,7.97,18.98,9.97,12.48,14.48
1178,2017-05-08,74.00,7.28,1020.51,3.88,9.12,72.00,8.39,4.92,0.01,0.07,16.67,6.84,18.67,8.84,11.76,13.76
993,2017-05-09,66.00,5.73,1015.85,4.01,9.83,54.00,8.37,5.15,0.00,0.01,18.13,7.19,20.13,9.19,12.66,14.66
352,2017-05-10,68.00,7.58,1006.20,3.80,9.96,70.00,7.70,4.50,0.01,0.10,20.20,11.25,22.20,13.25,15.73,17.73
704,2017-05-11,78.00,10.69,998.49,3.97,9.66,85.00,8.06,5.20,0.12,1.13,19.19,11.32,21.19,13.32,15.26,17.26
1157,2017-05-12,79.00,11.45,1002.48,3.49,9.78,80.00,7.76,5.32,0.05,0.53,20.21,11.05,22.21,13.05,15.63,17.63
610,2017-05-13,78.00,11.06,1012.45,3.14,9.81,78.00,7.04,5.50,0.03,0.38,20.09,10.47,22.09,12.47,15.28,17.28
506,2017-05-14,72.00,10.28,1021.93,2.92,9.84,74.00,7.01,5.67,0.02,0.35,21.03,10.16,23.03,12.16,15.60,17.60
192,2017-05-15,66.00,10.24,1026.76,2.76,9.95,69.00,6.06,5.16,0.01,0.08,24.19,13.03,26.19,15.03,18.61,20.61
951,2017-05-16,61.00,11.46,1025.88,2.38,9.97,71.00,5.27,4.78,0.00,0.03,26.77,13.88,28.77,15.88,20.33,22.33
128,2017-05-17,66.00,12.16,1018.71,2.75,9.59,72.00,6.79,4.36,0.09,0.77,26.03,13.81,28.03,15.81,19.92,21.92
959,2017-05-18,78.00,11.61,1014.13,3.37,9.24,87.00,8.36,5.18,0.17,1.78,19.68,8.71,21.68,10.71,14.20,16.20
738,2017-05-19,75.00,7.92,1016.39,4.09,9.85,77.00,9.23,5.75,0.09,0.87,16.83,7.90,18.83,9.90,12.37,14.37
714,2017-05-20,69.00,7.12,1021.68,3.66,9.96,71.00,7.74,5.62,0.01,0.20,18.20,7.53,20.20,9.53,12.87,14.87
743,2017-05-21,65.00,8.03,1022.32,2.79,9.95,54.00,6.17,6.06,0.00,0.01,22.69,11.28,24.69,13.28,16.99,18.99
907,2017-05-22,63.00,10.23,1016.91,2.75,10.00,73.00,6.03,5.24,0.02,0.34,24.73,12.49,26.73,14.49,18.61,20.61
1063,2017-05-23,72.00,12.27,1021.21,2.85,9.74,72.00,6.02,5.68,0.00,0.01,23.18,12.87,25.18,14.87,18.03,20.03
888,2017-05-24,71.00,13.05,1022.56,2.81,9.49,67.00,5.87,5.88,0.00,0.01,24.92,13.80,26.92,15.80,19.36,21.36
20,2017-05-25,64.00,12.95,1018.19,3.37,9.76,49.00,6.54,5.39,0.00,0.01,27.19,14.61,29.19,16.61,20.90,22.90
881,2017-05-26,61.00,13.08,1015.08,3.40,9.95,34.00,6.96,5.93,0.00,0.00,28.00,15.05,30.00,17.05,21.53,23.53
1154,2017-05-27,63.00,13.61,1016.44,2.93,9.94,61.00,7.00,5.86,0.00,0.03,27.82,15.75,29.82,17.75,21.79,23.79
1028,2017-05-28,62.00,13.78,1016.66,2.87,9.84,68.00,6.20,5.44,0.01,0.14,28.48,16.09,30.48,18.09,22.29,24.29
987,2017-05-29,66.00,13.59,1014.55,2.93,9.45,72.00,6.42,5.64,0.01,0.12,25.88,15.20,27.88,17.20,20.54,22.54
419,2017-05-30,72.00,13.55,1017.45,2.67,9.66,78.00,5.55,6.03,0.02,0.37,23.23,13.76,25.23,15.76,18.50,20.50
645,2017-05-31,73.00,13.40,1020.78,2.26,9.75,77.00,5.02,5.95,0.02,0.13,24.13,13.65,26.13,15.65,18.89,20.89
835,2017-06-01,70.00,13.94,1019.77,1.98,9.74,57.00,4.91,6.68,0.03,0.31,26.14,14.49,28.14,16.49,20.32,22.32
194,2017-06-02,72.00,14.68,1017.12,2.33,9.82,63.00,5.76,6.49,0.02,0.39,26.43,15.23,28.43,17.23,20.83,22.83
873,2017-06-03,79.00,14.20,1016.32,2.78,9.58,77.00,6.82,6.26,0.11,1.05,21.67,11.97,23.67,13.97,16.82,18.82
591,2017-06-04,72.00,10.89,1018.10,3.15,9.86,72.00,7.02,6.08,0.01,0.13,20.88,11.95,22.88,13.95,16.42,18.42
579,2017-06-05,68.00,10.70,1013.76,3.32,9.88,75.00,8.82,6.37,0.06,0.59,22.08,12.64,24.08,14.64,17.36,19.36
779,2017-06-06,69.00,9.67,1010.09,6.04,9.90,78.00,15.13,6.05,0.07,0.84,19.51,10.65,21.51,12.65,15.08,17.08
1017,2017-06-07,62.00,7.84,1018.96,4.63,10.02,68.00,9.77,6.46,0.00,0.03,20.49,10.68,22.49,12.68,15.59,17.59
389,2017-06-08,62.00,10.47,1015.94,3.36,9.98,53.00,7.37,6.07,0.00,0.06,26.27,14.28,28.27,16.28,20.28,22.28
1079,2017-06-09,70.00,12.56,1015.53,3.23,9.92,79.00,8.19,6.10,0.03,0.42,23.31,13.75,25.31,15.75,18.53,20.53
191,2017-06-10,64.00,13.04,1018.50,2.52,9.99,64.00,5.59,6.36,0.00,0.00,27.19,14.98,29.19,16.98,21.09,23.09
467,2017-06-11,65.00,14.37,1017.32,2.64,9.88,67.00,6.33,5.76,0.00,0.01,28.45,15.43,30.45,17.43,21.94,23.94
1165,2017-06-12,66.00,13.41,1018.94,3.08,9.98,66.00,6.25,6.42,0.00,0.00,25.01,14.29,27.01,16.29,19.65,21.65
14,2017-06-13,68.00,14.08,1016.86,2.59,9.87,62.00,5.89,6.03,0.03,0.35,26.97,16.23,28.97,18.23,21.60,23.60
80,2017-06-14,68.00,15.78,1014.99,2.33,9.94,65.00,5.13,5.78,0.00,0.07,28.84,16.89,30.84,18.89,22.87,24.87
11,2017-06-15,70.00,16.01,1016.93,3.11,9.71,59.00,7.06,6.28,0.00,0.07,27.63,15.75,29.63,17.75,21.69,23.69
673,2017-06-16,64.00,13.17,1022.73,3.67,9.95,57.00,7.59,7.14,0.00,0.02,25.92,14.45,27.92,16.45,20.19,22.19
38,2017-06-17,60.00,12.54,1022.95,3.42,9.96,46.00,7.96,6.79,0.00,0.00,28.04,16.07,30.04,18.07,22.06,24.06
321,2017-06-18,58.00,13.92,1019.24,3.49,10.01,41.00,7.02,6.94,0.00,0.01,30.22,17.30,32.22,19.30,23.76,25.76
452,2017-06-19,57.00,15.01,1017.27,3.03,9.94,26.00,6.10,5.00,0.00,0.00,31.71,18.33,33.71,20.33,25.02,27.02
1006,2017-06-20,60.00,16.09,1016.23,2.58,9.85,44.00,5.91,6.00,0.00,0.00,32.09,18.66,34.09,20.66,25.38,27.38
113,2017-06-21,62.00,16.86,1014.87,2.33,9.68,49.00,5.25,6.52,0.01,0.19,32.58,18.74,34.58,20.74,25.66,27.66
586,2017-06-22,65.00,16.79,1015.54,3.04,9.52,59.00,6.41,7.39,0.00,0.02,30.96,17.92,32.96,19.92,24.44,26.44
415,2017-06-23,70.00,15.83,1019.49,3.34,9.84,77.00,7.04,5.45,0.00,0.01,26.39,16.57,28.39,18.57,21.48,23.48
437,2017-06-24,68.00,14.59,1019.01,3.44,9.81,71.00,7.11,6.11,0.01,0.05,26.19,16.42,28.19,18.42,21.31,23.31
762,2017-06-25,66.00,14.20,1016.58,3.67,9.93,75.00,7.30,5.71,0.01,0.13,26.46,16.28,28.46,18.28,21.37,23.37
1120,2017-06-26,69.00,15.08,1012.76,2.61,9.85,73.00,6.08,6.54,0.02,0.19,27.00,16.96,29.00,18.96,21.98,23.98
813,2017-06-27,76.00,16.16,1007.28,2.73,9.76,79.00,7.41,5.95,0.08,0.81,26.29,16.01,28.29,18.01,21.15,23.15
410,2017-06-28,79.00,14.72,1001.77,3.80,9.56,81.00,10.21,6.03,0.11,1.06,23.41,13.80,25.41,15.80,18.61,20.61
642,2017-06-29,74.00,11.80,1002.69,4.85,9.85,78.00,11.62,6.05,0.09,0.69,21.07,12.78,23.07,14.78,16.93,18.93
838,2017-06-30,75.00,11.18,1008.83,4.58,9.82,80.00,10.60,5.97,0.03,0.19,19.81,13.27,21.81,15.27,16.54,18.54
1177,2017-07-01,77.00,11.83,1017.63,4.54,9.70,83.00,8.90,5.55,0.03,0.26,19.67,13.48,21.67,15.48,16.58,18.58
536,2017-07-02,76.00,12.72,1022.76,3.92,9.53,83.00,7.80,5.50,0.01,0.07,21.84,14.61,23.84,16.61,18.23,20.23
559,2017-07-16,60.00,13.23,1022.33,2.96,9.77,62.00,6.05,6.00,0.00,0.00,28.54,16.75,30.54,18.75,22.65,24.65
854,2017-07-03,70.00,13.28,1023.29,2.93,9.68,76.00,6.01,5.92,0.00,0.01,24.76,13.51,26.76,15.51,19.14,21.14
665,2017-07-04,66.00,13.66,1019.66,2.28,9.93,45.00,5.14,6.67,0.00,0.05,28.22,15.87,30.22,17.87,22.05,24.05
471,2017-07-05,61.00,14.46,1016.27,3.10,9.82,42.00,5.96,6.59,0.00,0.02,30.54,17.31,32.54,19.31,23.93,25.93
3,2017-07-06,62.00,15.00,1016.27,2.98,9.91,73.00,5.90,5.21,0.01,0.13,30.50,17.96,32.50,19.96,24.23,26.23
878,2017-07-07,60.00,15.42,1017.55,2.66,9.73,57.00,5.86,5.68,0.00,0.00,31.27,18.24,33.27,20.24,24.76,26.76
603,2017-07-08,64.00,15.69,1016.70,2.75,9.81,72.00,7.95,5.61,0.01,0.29,29.35,18.13,31.35,20.13,23.74,25.74
742,2017-07-09,72.00,16.25,1012.89,3.18,9.77,81.00,8.05,5.50,0.07,1.09,26.83,17.08,28.83,19.08,21.96,23.96
707,2017-07-10,78.00,15.93,1012.86,3.39,9.85,79.00,8.64,5.97,0.05,0.70,24.52,15.89,26.52,17.89,20.21,22.21
1155,2017-07-11,74.00,14.84,1014.54,3.32,9.85,83.00,7.17,5.72,0.02,0.31,24.79,16.78,26.79,18.78,20.79,22.79
778,2017-07-12,74.00,15.42,1015.99,4.28,9.73,82.00,9.15,5.66,0.01,0.12,24.69,15.58,26.69,17.58,20.14,22.14
