id,date_releve,humidity,dewpoint,pressure,windspeed,visibility,cloudcover,windgust,uvindex,precipintensity,precipintensitymax,temperaturehigh,temperaturelow,temperaturehighoffset2,temperaturelowoffset2
223,2017-01-28,0.79,3.40,1017.33,3.62,9.38,0.84,7.46,1.31,0.06,0.54,10.47,2.75,12.47,4.75
67,2017-01-29,0.82,3.51,1020.58,3.30,8.78,0.77,6.27,1.21,0.04,0.36,11.37,4.95,13.37,6.95
314,2017-01-30,0.88,6.38,1017.37,3.30,8.02,0.91,6.26,1.36,0.04,0.37,11.15,7.27,13.15,9.27
150,2017-01-31,0.89,7.67,1015.88,2.73,7.43,0.91,5.49,1.14,0.04,0.24,12.77,6.67,14.77,8.67
713,2017-02-01,0.87,7.22,1014.07,3.35,8.01,0.84,6.40,1.29,0.01,0.13,13.05,7.31,15.05,9.31
626,2017-02-02,0.81,6.91,1007.33,5.46,9.33,0.87,10.84,1.36,0.03,0.28,13.62,5.46,15.62,7.46
278,2017-02-03,0.81,5.14,1005.99,5.16,9.77,0.81,14.36,1.52,0.05,0.59,11.53,5.29,13.53,7.29
807,2017-02-04,0.79,4.43,1003.42,5.24,9.70,0.83,15.88,1.52,0.11,1.13,11.18,5.28,13.18,7.28
667,2017-02-05,0.85,4.68,1003.14,5.25,9.29,0.86,14.16,1.52,0.12,0.93,9.58,4.25,11.58,6.25
433,2017-02-06,0.79,3.08,1016.51,4.81,9.21,0.83,11.85,1.57,0.04,0.49,9.58,4.72,11.58,6.72
1036,2017-02-07,0.83,4.76,1017.27,3.59,8.33,0.85,7.94,1.64,0.04,0.34,11.24,3.87,13.24,5.87
355,2017-02-08,0.83,3.13,1021.94,3.99,8.87,0.85,7.63,1.69,0.02,0.18,8.57,1.99,10.57,3.99
392,2017-02-09,0.80,1.02,1022.06,3.27,7.98,0.79,6.47,1.64,0.01,0.04,7.31,0.98,9.31,2.98
287,2017-02-10,0.79,0.58,1018.15,3.37,7.63,0.73,5.57,1.67,0.00,0.05,8.10,1.03,10.10,3.03
17,2017-02-11,0.81,0.77,1019.12,3.11,7.16,0.82,5.03,1.81,0.01,0.07,7.12,2.50,9.12,4.50
253,2017-02-12,0.78,2.87,1016.80,5.45,7.80,0.82,11.21,1.74,0.01,0.12,11.02,6.45,13.02,8.45
337,2017-02-13,0.69,4.05,1016.31,6.65,9.33,0.71,11.67,1.67,0.01,0.14,13.30,6.68,15.30,8.68
1124,2017-02-14,0.77,5.58,1023.75,4.25,8.96,0.76,7.30,1.81,0.03,0.27,13.91,5.83,15.91,7.83
954,2017-02-15,0.77,5.87,1031.70,3.00,9.09,0.59,5.79,1.76,0.01,0.12,15.53,4.43,17.53,6.43
227,2017-02-16,0.82,5.84,1031.91,1.80,7.95,0.64,3.76,1.81,0.00,0.04,14.62,4.01,16.62,6.01
62,2017-02-17,0.82,5.07,1028.27,2.06,7.55,0.67,4.65,1.79,0.00,0.04,13.71,2.58,15.71,4.58
66,2017-02-18,0.78,3.32,1024.44,2.34,7.82,0.48,4.88,1.45,0.00,0.01,13.62,1.02,15.62,3.02
28,2017-02-19,0.78,3.09,1025.98,2.29,8.17,0.55,4.76,1.62,0.00,0.02,13.34,4.75,15.34,6.75
1090,2017-02-20,0.81,5.40,1025.29,3.24,7.91,0.87,6.23,1.95,0.00,0.06,12.76,6.82,14.76,8.82
1081,2017-02-21,0.84,7.32,1023.41,3.73,8.71,0.86,6.31,1.95,0.00,0.05,13.74,7.44,15.74,9.44
369,2017-02-22,0.79,6.59,1019.77,4.16,9.41,0.88,7.75,2.02,0.00,0.03,13.81,5.67,15.81,7.67
386,2017-02-23,0.77,5.35,1012.33,5.11,8.99,0.81,12.41,1.88,0.01,0.10,14.58,5.51,16.58,7.51
763,2017-02-24,0.72,2.72,1016.88,4.16,9.82,0.77,9.24,2.38,0.00,0.03,10.74,0.96,12.74,2.96
1097,2017-02-25,0.69,0.48,1020.37,3.25,9.46,0.61,7.36,1.29,0.00,0.02,12.56,3.17,14.56,5.17
483,2017-02-26,0.74,3.70,1017.31,3.54,9.79,0.85,7.03,2.17,0.00,0.05,13.73,6.03,15.73,8.03
936,2017-02-27,0.76,5.09,1006.71,6.04,9.57,0.77,15.83,2.17,0.06,0.62,13.75,5.45,15.75,7.45
170,2017-02-28,0.79,3.95,1002.14,6.37,9.70,0.81,17.30,2.50,0.08,0.62,10.75,4.60,12.75,6.60
497,2017-03-01,0.77,4.33,1010.64,5.73,9.51,0.82,12.64,2.36,0.06,0.41,12.55,5.75,14.55,7.75
830,2017-03-02,0.73,4.61,1016.52,3.86,9.88,0.71,9.51,2.69,0.01,0.24,13.61,5.33,15.61,7.33
1005,2017-03-03,0.74,5.52,1005.41,5.03,9.95,0.79,11.77,2.14,0.03,0.40,15.54,6.69,17.54,8.69
445,2017-03-04,0.79,4.89,998.03,5.46,9.71,0.83,13.37,2.67,0.12,1.22,11.37,4.20,13.37,6.20
145,2017-03-05,0.79,4.08,1006.60,5.94,9.79,0.81,16.34,2.79,0.07,0.62,11.69,6.44,13.69,8.44
621,2017-03-06,0.76,4.68,1010.50,6.95,9.55,0.84,20.88,2.74,0.08,0.84,12.37,6.07,14.37,8.07
116,2017-03-07,0.76,3.53,1019.40,4.86,9.27,0.83,10.82,2.86,0.04,0.32,10.91,5.34,12.91,7.34
630,2017-03-08,0.82,6.68,1022.51,4.81,8.78,0.87,9.64,2.76,0.02,0.14,13.85,8.51,15.85,10.51
206,2017-03-09,0.80,8.09,1024.33,3.50,9.05,0.87,6.87,2.79,0.01,0.10,15.69,6.33,17.69,8.33
384,2017-03-10,0.75,6.37,1023.68,2.51,8.34,0.72,5.97,2.74,0.00,0.03,17.44,4.95,19.44,6.95
759,2017-03-11,0.66,4.41,1018.40,2.46,9.46,0.63,5.11,1.38,0.00,0.02,19.03,7.26,21.03,9.26
965,2017-03-12,0.78,6.69,1015.40,3.20,9.40,0.88,7.34,2.67,0.03,0.23,14.57,6.88,16.57,8.88
166,2017-03-13,0.77,6.30,1025.24,3.53,9.16,0.69,6.98,2.95,0.00,0.04,15.25,4.64,17.25,6.64
330,2017-03-14,0.75,5.48,1032.58,2.68,8.29,0.57,5.40,2.88,0.00,0.03,15.79,6.28,17.79,8.28
573,2017-03-15,0.75,6.09,1030.45,2.58,8.82,0.70,5.18,2.74,0.00,0.02,16.41,4.41,18.41,6.41
366,2017-03-16,0.71,5.70,1023.63,2.03,7.88,0.27,4.49,2.26,0.00,0.02,19.48,6.22,21.48,8.22
288,2017-03-17,0.73,5.85,1021.26,3.31,8.65,0.64,7.23,2.71,0.00,0.02,16.44,7.31,18.44,9.31
120,2017-03-18,0.80,6.97,1019.68,5.28,9.21,0.90,9.57,3.05,0.01,0.10,13.84,8.52,15.84,10.52
909,2017-03-19,0.79,7.92,1017.56,4.34,9.43,0.88,8.51,3.10,0.00,0.02,15.50,9.14,17.50,11.14
1057,2017-03-20,0.78,7.66,1014.27,3.95,9.72,0.91,7.95,2.98,0.00,0.06,14.62,8.25,16.62,10.25
876,2017-03-21,0.77,5.77,1014.07,3.51,9.72,0.84,7.93,3.33,0.02,0.22,13.12,4.43,15.12,6.43
623,2017-03-22,0.78,4.35,1010.75,3.44,9.59,0.79,7.74,3.57,0.06,0.63,12.62,5.27,14.62,7.27
526,2017-03-23,0.81,5.40,1011.03,3.49,9.42,0.83,7.69,3.45,0.09,1.01,12.96,5.13,14.96,7.13
94,2017-03-24,0.82,6.07,1019.94,3.92,8.80,0.81,7.66,3.52,0.05,0.41,13.16,7.60,15.16,9.60
788,2017-03-25,0.73,5.50,1018.26,5.72,8.61,0.62,12.66,3.62,0.08,0.77,15.71,5.07,17.71,7.07
196,2017-03-26,0.66,4.42,1018.82,3.28,9.93,0.63,6.18,3.00,0.00,0.01,16.86,5.66,18.86,7.66
658,2017-03-27,0.67,5.26,1019.61,3.30,9.55,0.50,6.80,2.93,0.00,0.01,18.13,6.44,20.13,8.44
1076,2017-03-28,0.69,6.27,1023.79,2.95,9.83,0.60,6.63,3.60,0.00,0.02,18.36,6.77,20.36,8.77
543,2017-03-29,0.65,6.32,1025.77,2.89,9.94,0.46,5.82,3.12,0.00,0.00,20.34,7.70,22.34,9.70
1077,2017-03-30,0.61,6.65,1022.63,2.99,9.97,0.21,6.17,4.40,0.00,0.00,22.32,10.12,24.32,12.12
57,2017-03-31,0.66,7.09,1017.24,3.95,9.86,0.85,8.15,3.33,0.03,0.44,18.14,8.29,20.14,10.29
689,2017-04-01,0.78,7.11,1014.64,3.78,9.88,0.84,8.28,3.93,0.07,0.65,14.45,7.16,16.45,9.16
7,2017-04-02,0.79,6.98,1019.39,3.23,9.46,0.80,6.46,4.05,0.04,0.24,15.23,6.18,17.23,8.18
815,2017-04-03,0.71,6.57,1023.84,2.69,8.82,0.59,5.90,4.21,0.00,0.06,18.80,7.60,20.80,9.60
990,2017-04-04,0.69,6.37,1023.53,3.43,9.57,0.74,7.31,4.12,0.01,0.09,17.39,8.07,19.39,10.07
901,2017-04-05,0.69,5.98,1024.59,4.36,9.32,0.71,8.54,4.38,0.01,0.08,16.44,5.77,18.44,7.77
914,2017-04-06,0.66,4.27,1025.32,4.03,9.65,0.52,8.07,4.36,0.00,0.00,15.75,3.83,17.75,5.83
944,2017-04-07,0.66,4.59,1023.98,2.68,9.70,0.35,5.53,2.29,0.00,0.01,18.71,6.24,20.71,8.24
1067,2017-04-08,0.64,6.59,1021.77,2.53,9.22,0.07,4.91,2.24,0.00,0.00,21.75,7.63,23.75,9.63
677,2017-04-09,0.62,7.26,1022.12,2.49,9.38,0.23,5.20,2.17,0.00,0.00,23.26,8.32,25.26,10.32
840,2017-04-10,0.68,7.54,1023.48,3.22,9.32,0.56,7.05,4.12,0.00,0.07,20.21,7.04,22.21,9.04
751,2017-04-11,0.66,5.62,1024.84,3.26,9.80,0.61,7.06,4.71,0.00,0.01,17.34,5.33,19.34,7.33
1042,2017-04-12,0.65,5.17,1021.53,2.86,9.79,0.58,6.31,2.81,0.00,0.00,19.13,6.72,21.13,8.72
709,2017-04-13,0.67,6.39,1017.95,2.81,9.86,0.63,6.05,3.21,0.00,0.00,18.95,7.82,20.95,9.82
863,2017-04-14,0.67,6.47,1017.76,2.79,9.65,0.73,5.95,4.00,0.00,0.00,18.17,8.74,20.17,10.74
622,2017-04-15,0.73,7.21,1020.04,3.60,9.93,0.88,6.91,4.14,0.00,0.03,15.67,8.07,17.67,10.07
1070,2017-04-16,0.68,5.74,1022.85,3.80,10.00,0.77,7.75,4.29,0.00,0.01,16.34,6.24,18.34,8.24
1008,2017-04-17,0.68,5.27,1020.56,3.49,9.92,0.74,7.22,3.62,0.00,0.04,16.78,5.10,18.78,7.10
1009,2017-04-18,0.61,1.91,1022.99,4.79,9.88,0.59,10.74,4.57,0.00,0.04,14.73,3.03,16.73,5.03
641,2017-04-19,0.52,-2.00,1028.58,5.06,9.95,0.50,10.57,4.00,0.00,0.02,13.44,1.05,15.44,3.05
499,2017-04-20,0.48,-3.46,1031.56,3.90,9.98,0.43,7.96,2.02,0.00,0.06,14.24,1.58,16.24,3.58
847,2017-04-21,0.49,-1.38,1030.13,2.79,9.81,0.39,6.11,2.10,0.00,0.00,17.75,4.79,19.75,6.79
678,2017-04-22,0.58,3.09,1025.48,2.97,9.58,0.57,6.76,3.40,0.00,0.02,18.80,5.31,20.80,7.31
782,2017-04-23,0.59,3.46,1022.30,3.50,9.85,0.50,7.51,3.33,0.00,0.00,18.24,4.46,20.24,6.46
1011,2017-04-24,0.61,4.25,1017.01,2.86,9.95,0.64,6.60,3.24,0.00,0.01,19.78,7.61,21.78,9.61
1102,2017-04-25,0.71,5.02,1011.67,3.83,9.78,0.84,8.50,4.71,0.09,0.75,13.94,4.45,15.94,6.45
224,2017-04-26,0.76,3.39,1013.25,3.64,9.74,0.84,8.30,4.48,0.09,0.52,11.15,2.98,13.15,4.98
683,2017-04-27,0.71,1.72,1017.15,3.60,9.81,0.76,8.82,4.95,0.02,0.15,11.96,3.26,13.96,5.26
382,2017-04-28,0.65,1.82,1017.52,3.56,9.84,0.73,7.86,4.98,0.01,0.12,13.66,2.66,15.66,4.66
444,2017-04-29,0.60,2.16,1014.92,3.06,9.56,0.52,7.41,3.88,0.00,0.01,17.65,6.59,19.65,8.59
230,2017-04-30,0.66,4.71,1006.46,5.10,9.87,0.79,12.23,4.57,0.13,1.40,17.50,6.01,19.50,8.01
761,2017-05-01,0.73,5.16,1012.85,5.27,9.81,0.81,12.40,4.98,0.14,1.12,14.82,6.69,16.82,8.69
195,2017-05-02,0.77,6.84,1017.45,3.25,9.73,0.83,7.26,5.00,0.08,0.84,15.63,7.45,17.63,9.45
138,2017-05-03,0.77,7.24,1018.49,2.41,9.33,0.82,5.64,4.98,0.02,0.17,15.79,7.12,17.79,9.12
347,2017-05-04,0.78,7.93,1016.35,2.89,8.64,0.76,5.60,4.98,0.02,0.21,16.92,8.13,18.92,10.13
1029,2017-05-05,0.73,8.31,1014.15,4.34,8.76,0.69,8.17,5.15,0.02,0.41,19.37,10.61,21.37,12.61
402,2017-05-06,0.79,9.50,1011.41,4.30,8.77,0.84,9.68,4.85,0.19,1.68,16.62,9.86,18.62,11.86
252,2017-05-07,0.76,8.59,1019.04,3.99,9.00,0.79,8.28,5.00,0.01,0.10,16.98,7.97,18.98,9.97
1178,2017-05-08,0.74,7.28,1020.51,3.88,9.12,0.72,8.39,4.92,0.01,0.07,16.67,6.84,18.67,8.84
993,2017-05-09,0.66,5.73,1015.85,4.01,9.83,0.54,8.37,5.15,0.00,0.01,18.13,7.19,20.13,9.19
352,2017-05-10,0.68,7.58,1006.20,3.80,9.96,0.70,7.70,4.50,0.01,0.10,20.20,11.25,22.20,13.25
704,2017-05-11,0.78,10.69,998.49,3.97,9.66,0.85,8.06,5.20,0.12,1.13,19.19,11.32,21.19,13.32
1157,2017-05-12,0.79,11.45,1002.48,3.49,9.78,0.80,7.76,5.32,0.05,0.53,20.21,11.05,22.21,13.05
610,2017-05-13,0.78,11.06,1012.45,3.14,9.81,0.78,7.04,5.50,0.03,0.38,20.09,10.47,22.09,12.47
506,2017-05-14,0.72,10.28,1021.93,2.92,9.84,0.74,7.01,5.67,0.02,0.35,21.03,10.16,23.03,12.16
192,2017-05-15,0.66,10.24,1026.76,2.76,9.95,0.69,6.06,5.16,0.01,0.08,24.19,13.03,26.19,15.03
951,2017-05-16,0.61,11.46,1025.88,2.38,9.97,0.71,5.27,4.78,0.00,0.03,26.77,13.88,28.77,15.88
128,2017-05-17,0.66,12.16,1018.71,2.75,9.59,0.72,6.79,4.36,0.09,0.77,26.03,13.81,28.03,15.81
959,2017-05-18,0.78,11.61,1014.13,3.37,9.24,0.87,8.36,5.18,0.17,1.78,19.68,8.71,21.68,10.71
738,2017-05-19,0.75,7.92,1016.39,4.09,9.85,0.77,9.23,5.75,0.09,0.87,16.83,7.90,18.83,9.90
714,2017-05-20,0.69,7.12,1021.68,3.66,9.96,0.71,7.74,5.62,0.01,0.20,18.20,7.53,20.20,9.53
743,2017-05-21,0.65,8.03,1022.32,2.79,9.95,0.54,6.17,6.06,0.00,0.01,22.69,11.28,24.69,13.28
907,2017-05-22,0.63,10.23,1016.91,2.75,10.00,0.73,6.03,5.24,0.02,0.34,24.73,12.49,26.73,14.49
1063,2017-05-23,0.72,12.27,1021.21,2.85,9.74,0.72,6.02,5.68,0.00,0.01,23.18,12.87,25.18,14.87
888,2017-05-24,0.71,13.05,1022.56,2.81,9.49,0.67,5.87,5.88,0.00,0.01,24.92,13.80,26.92,15.80
20,2017-05-25,0.64,12.95,1018.19,3.37,9.76,0.49,6.54,5.39,0.00,0.01,27.19,14.61,29.19,16.61
881,2017-05-26,0.61,13.08,1015.08,3.40,9.95,0.34,6.96,5.93,0.00,0.00,28.00,15.05,30.00,17.05
1154,2017-05-27,0.63,13.61,1016.44,2.93,9.94,0.61,7.00,5.86,0.00,0.03,27.82,15.75,29.82,17.75
1028,2017-05-28,0.62,13.78,1016.66,2.87,9.84,0.68,6.20,5.44,0.01,0.14,28.48,16.09,30.48,18.09
987,2017-05-29,0.66,13.59,1014.55,2.93,9.45,0.72,6.42,5.64,0.01,0.12,25.88,15.20,27.88,17.20
419,2017-05-30,0.72,13.55,1017.45,2.67,9.66,0.78,5.55,6.03,0.02,0.37,23.23,13.76,25.23,15.76
645,2017-05-31,0.73,13.40,1020.78,2.26,9.75,0.77,5.02,5.95,0.02,0.13,24.13,13.65,26.13,15.65
835,2017-06-01,0.70,13.94,1019.77,1.98,9.74,0.57,4.91,6.68,0.03,0.31,26.14,14.49,28.14,16.49
194,2017-06-02,0.72,14.68,1017.12,2.33,9.82,0.63,5.76,6.49,0.02,0.39,26.43,15.23,28.43,17.23
873,2017-06-03,0.79,14.20,1016.32,2.78,9.58,0.77,6.82,6.26,0.11,1.05,21.67,11.97,23.67,13.97
591,2017-06-04,0.72,10.89,1018.10,3.15,9.86,0.72,7.02,6.08,0.01,0.13,20.88,11.95,22.88,13.95
579,2017-06-05,0.68,10.70,1013.76,3.32,9.88,0.75,8.82,6.37,0.06,0.59,22.08,12.64,24.08,14.64
779,2017-06-06,0.69,9.67,1010.09,6.04,9.90,0.78,15.13,6.05,0.07,0.84,19.51,10.65,21.51,12.65
1017,2017-06-07,0.62,7.84,1018.96,4.63,10.02,0.68,9.77,6.46,0.00,0.03,20.49,10.68,22.49,12.68
389,2017-06-08,0.62,10.47,1015.94,3.36,9.98,0.53,7.37,6.07,0.00,0.06,26.27,14.28,28.27,16.28
1079,2017-06-09,0.70,12.56,1015.53,3.23,9.92,0.79,8.19,6.10,0.03,0.42,23.31,13.75,25.31,15.75
191,2017-06-10,0.64,13.04,1018.50,2.52,9.99,0.64,5.59,6.36,0.00,0.00,27.19,14.98,29.19,16.98
467,2017-06-11,0.65,14.37,1017.32,2.64,9.88,0.67,6.33,5.76,0.00,0.01,28.45,15.43,30.45,17.43
1165,2017-06-12,0.66,13.41,1018.94,3.08,9.98,0.66,6.25,6.42,0.00,0.00,25.01,14.29,27.01,16.29
14,2017-06-13,0.68,14.08,1016.86,2.59,9.87,0.62,5.89,6.03,0.03,0.35,26.97,16.23,28.97,18.23
80,2017-06-14,0.68,15.78,1014.99,2.33,9.94,0.65,5.13,5.78,0.00,0.07,28.84,16.89,30.84,18.89
11,2017-06-15,0.70,16.01,1016.93,3.11,9.71,0.59,7.06,6.28,0.00,0.07,27.63,15.75,29.63,17.75
673,2017-06-16,0.64,13.17,1022.73,3.67,9.95,0.57,7.59,7.14,0.00,0.02,25.92,14.45,27.92,16.45
38,2017-06-17,0.60,12.54,1022.95,3.42,9.96,0.46,7.96,6.79,0.00,0.00,28.04,16.07,30.04,18.07
321,2017-06-18,0.58,13.92,1019.24,3.49,10.01,0.41,7.02,6.94,0.00,0.01,30.22,17.30,32.22,19.30
452,2017-06-19,0.57,15.01,1017.27,3.03,9.94,0.26,6.10,5.00,0.00,0.00,31.71,18.33,33.71,20.33
1006,2017-06-20,0.60,16.09,1016.23,2.58,9.85,0.44,5.91,6.00,0.00,0.00,32.09,18.66,34.09,20.66
113,2017-06-21,0.62,16.86,1014.87,2.33,9.68,0.49,5.25,6.52,0.01,0.19,32.58,18.74,34.58,20.74
586,2017-06-22,0.65,16.79,1015.54,3.04,9.52,0.59,6.41,7.39,0.00,0.02,30.96,17.92,32.96,19.92
415,2017-06-23,0.70,15.83,1019.49,3.34,9.84,0.77,7.04,5.45,0.00,0.01,26.39,16.57,28.39,18.57
437,2017-06-24,0.68,14.59,1019.01,3.44,9.81,0.71,7.11,6.11,0.01,0.05,26.19,16.42,28.19,18.42
762,2017-06-25,0.66,14.20,1016.58,3.67,9.93,0.75,7.30,5.71,0.01,0.13,26.46,16.28,28.46,18.28
1120,2017-06-26,0.69,15.08,1012.76,2.61,9.85,0.73,6.08,6.54,0.02,0.19,27.00,16.96,29.00,18.96
813,2017-06-27,0.76,16.16,1007.28,2.73,9.76,0.79,7.41,5.95,0.08,0.81,26.29,16.01,28.29,18.01
410,2017-06-28,0.79,14.72,1001.77,3.80,9.56,0.81,10.21,6.03,0.11,1.06,23.41,13.80,25.41,15.80
642,2017-06-29,0.74,11.80,1002.69,4.85,9.85,0.78,11.62,6.05,0.09,0.69,21.07,12.78,23.07,14.78
838,2017-06-30,0.75,11.18,1008.83,4.58,9.82,0.80,10.60,5.97,0.03,0.19,19.81,13.27,21.81,15.27
1177,2017-07-01,0.77,11.83,1017.63,4.54,9.70,0.83,8.90,5.55,0.03,0.26,19.67,13.48,21.67,15.48
536,2017-07-02,0.76,12.72,1022.76,3.92,9.53,0.83,7.80,5.50,0.01,0.07,21.84,14.61,23.84,16.61
854,2017-07-03,0.70,13.28,1023.29,2.93,9.68,0.76,6.01,5.92,0.00,0.01,24.76,13.51,26.76,15.51
665,2017-07-04,0.66,13.66,1019.66,2.28,9.93,0.45,5.14,6.67,0.00,0.05,28.22,15.87,30.22,17.87
471,2017-07-05,0.61,14.46,1016.27,3.10,9.82,0.42,5.96,6.59,0.00,0.02,30.54,17.31,32.54,19.31
3,2017-07-06,0.62,15.00,1016.27,2.98,9.91,0.73,5.90,5.21,0.01,0.13,30.50,17.96,32.50,19.96
878,2017-07-07,0.60,15.42,1017.55,2.66,9.73,0.57,5.86,5.68,0.00,0.00,31.27,18.24,33.27,20.24
603,2017-07-08,0.64,15.69,1016.70,2.75,9.81,0.72,7.95,5.61,0.01,0.29,29.35,18.13,31.35,20.13
742,2017-07-09,0.72,16.25,1012.89,3.18,9.77,0.81,8.05,5.50,0.07,1.09,26.83,17.08,28.83,19.08
707,2017-07-10,0.78,15.93,1012.86,3.39,9.85,0.79,8.64,5.97,0.05,0.70,24.52,15.89,26.52,17.89
1155,2017-07-11,0.74,14.84,1014.54,3.32,9.85,0.83,7.17,5.72,0.02,0.31,24.79,16.78,26.79,18.78
778,2017-07-12,0.74,15.42,1015.99,4.28,9.73,0.82,9.15,5.66,0.01,0.12,24.69,15.58,26.69,17.58
313,2017-07-13,0.69,13.93,1019.77,3.21,9.89,0.73,6.70,6.11,0.00,0.02,25.39,15.46,27.39,17.46
578,2017-07-14,0.65,12.78,1019.86,4.16,9.93,0.65,8.81,6.30,0.00,0.03,25.01,14.03,27.01,16.03
939,2017-07-15,0.61,11.61,1021.75,3.30,9.98,0.63,7.09,6.31,0.00,0.00,26.11,15.59,28.11,17.59
559,2017-07-16,0.60,13.23,1022.33,2.96,9.77,0.62,6.05,6.00,0.00,0.00,28.54,16.75,30.54,18.75
388,2017-07-17,0.62,14.70,1020.72,2.93,9.73,0.53,6.19,6.20,0.00,0.01,29.61,18.15,31.61,20.15
655,2017-07-18,0.57,15.04,1017.38,3.56,9.99,0.26,7.41,5.21,0.01,0.19,32.18,19.61,34.18,21.61
781,2017-07-19,0.64,15.70,1013.15,3.96,9.86,0.76,9.18,5.55,0.00,0.01,28.34,17.54,30.34,19.54
519,2017-07-20,0.69,14.23,1013.73,4.02,9.85,0.78,9.10,5.62,0.03,0.19,24.36,14.51,26.36,16.51
277,2017-07-21,0.69,13.31,1012.19,3.47,9.89,0.77,9.38,6.13,0.08,1.07,24.90,15.55,26.90,17.55
1128,2017-07-22,0.74,14.58,1012.96,3.57,9.92,0.78,8.21,5.82,0.02,0.24,24.41,15.71,26.41,17.71
604,2017-07-23,0.71,13.60,1016.97,4.10,9.83,0.80,7.48,5.24,0.02,0.22,23.62,15.66,25.62,17.66
88,2017-07-24,0.75,13.79,1014.95,5.03,9.76,0.80,10.60,5.90,0.04,0.41,22.70,15.25,24.70,17.25
190,2017-07-25,0.71,12.82,1015.46,4.65,9.80,0.75,9.06,5.38,0.02,0.24,23.03,14.29,25.03,16.29
495,2017-07-26,0.73,13.40,1013.25,4.13,9.36,0.76,7.62,5.58,0.02,0.13,23.66,16.04,25.66,18.04
83,2017-07-27,0.72,14.32,1012.23,4.00,9.77,0.82,8.08,5.11,0.01,0.08,24.70,15.98,26.70,17.98
